date,open,high,low,close,volume,dividends,stock_splits,ticker,daily_return,target_return,target_direction
2023-12-06,192.63082982561934,192.9379272177151,190.31272520524868,190.52076721191406,41089700,0.0,0.0,AAPL,,0.01013914098297053,1
2023-12-07,191.8184723448333,193.17565028147504,191.77883810543793,192.45248413085938,47477700,0.0,0.0,AAPL,0.01013914098297053,0.007412448822864404,1
2023-12-08,192.38314555463674,194.15640755182167,191.8581052152776,193.8790283203125,53406400,0.0,0.0,AAPL,0.007412448822864404,-0.012927378881377516,0
2023-12-11,191.30334341541183,191.6797931299085,189.62915193698308,191.3726806640625,60943700,0.0,0.0,AAPL,-0.012927378881377516,0.007920155001674312,1
2023-12-12,191.27362671385956,192.8982829604503,189.92634969600132,192.8883819580078,52696900,0.0,0.0,AAPL,0.007920155001674312,0.016691383596707743,1
2023-12-13,193.26479645974607,196.14757505430106,193.02705149757753,196.1079559326172,70404200,0.0,0.0,AAPL,0.016691383596707743,0.0007580065905024025,1
2023-12-14,196.1674526673574,197.7524749960573,194.3248530621662,196.25660705566406,66831600,0.0,0.0,AAPL,0.0007580065905024025,-0.002725963784590335,0
2023-12-15,195.6819844119138,196.54384019084355,195.15694409646994,195.72161865234375,128538400,0.0,0.0,AAPL,-0.002725963784590335,-0.008503359993114468,0
2023-12-18,194.25545312358386,194.79040955452615,192.5713606983871,194.0573272705078,55751900,0.0,0.0,AAPL,-0.008503359993114468,0.005360150045515155,1
2023-12-19,194.32480226669028,195.10740466398735,194.05732405565033,195.09750366210938,40714100,0.0,0.0,AAPL,0.005360150045515155,-0.01071390303857922,0
2023-12-20,195.05787394759355,195.8305753609382,193.0072479248047,193.0072479248047,52242800,0.0,0.0,AAPL,-0.01071390303857922,-0.000769867916817879,0
2023-12-21,194.26538628403978,195.23621363050395,191.6897046199928,192.85865783691406,46482500,0.0,0.0,AAPL,-0.000769867916817879,-0.005547588709240325,0
2023-12-22,193.35396213687642,193.58182122700063,191.164646529934,191.78875732421875,37149600,0.0,0.0,AAPL,-0.005547588709240325,-0.0028408629820444453,0
2023-12-26,191.7986702097743,192.0760494430794,191.02596875756228,191.24391174316406,28919300,0.0,0.0,AAPL,-0.0028408629820444453,0.000517818005880466,1
2023-12-27,190.68912753168,191.68967283701622,189.3022164363663,191.3429412841797,48087700,0.0,0.0,AAPL,0.000517818005880466,0.00222642198858658,1
2023-12-28,192.32370988068791,192.8388492190412,191.36278357008254,191.76895141601562,34049900,0.0,0.0,AAPL,0.00222642198858658,-0.005424112630959987,0
2023-12-29,192.08595308574118,192.58127531145587,189.9362564400636,190.72877502441406,42672100,0.0,0.0,AAPL,-0.005424112630959987,-0.03578658230770726,0
2024-01-02,185.3991117688797,186.67705163638013,182.16961614691823,183.9032440185547,82488700,0.0,0.0,AAPL,-0.03578658230770726,-0.007487710004818182,0
2024-01-03,182.49651173581816,184.1409850600839,181.7138941984477,182.52622985839844,58414500,0.0,0.0,AAPL,-0.007487710004818182,-0.012700092350476422,0
2024-01-04,180.44587486910356,181.37708304150152,179.18776734055538,180.2081298828125,71983600,0.0,0.0,AAPL,-0.012700092350476422,-0.004012999021178465,0
2024-01-05,180.28738953880892,181.05017488447822,178.48440937769652,179.48495483398438,62379700,0.0,0.0,AAPL,-0.004012999021178465,0.02417500841216569,1
2024-01-08,180.38646723852088,183.8636393749786,179.80199056645665,183.82400512695312,59144500,0.0,0.0,AAPL,0.02417500841216569,-0.0022635341812836662,0
2024-01-09,182.19932576748687,183.41781421075365,181.0204564512382,183.4079132080078,42841800,0.0,0.0,AAPL,-0.0022635341812836662,0.005671382294295313,1
2024-01-10,182.6253074687535,184.6561164657865,182.1993225017619,184.44808959960938,46792900,0.0,0.0,AAPL,0.005671382294295313,-0.0032226201378392494,0
2024-01-11,184.7947925921475,185.3000308909078,181.90211286972462,183.8536834716797,49128400,0.0,0.0,AAPL,-0.0032226201378392494,0.001778233692573794,1
2024-01-12,184.31930790747037,184.99295400827782,183.45745205458948,184.1806182861328,40477800,0.0,0.0,AAPL,0.001778233692573794,-0.012317259465069341,0
2024-01-16,180.45576949057303,182.53611345296787,179.23726611684987,181.91201782226562,65603000,0.0,0.0,AAPL,-0.012317259465069341,-0.005173385933953223,0
2024-01-17,179.57411959355028,181.2185778549055,178.613193289656,180.97091674804688,47317400,0.0,0.0,AAPL,-0.005173385933953223,0.032570608535671175,1
2024-01-18,184.34900450558874,187.37047281337263,184.09144241490495,186.86524963378906,78005800,0.0,0.0,AAPL,0.032570608535671175,0.0155331350002339,1
2024-01-19,187.5587198414397,190.15420352293785,187.0534966021051,189.76785278320312,68903000,0.0,0.0,AAPL,0.0155331350002339,0.0121632667895617,1
2024-01-22,190.50092877344645,193.50258021639056,190.46129453087994,192.0760498046875,60133900,0.0,0.0,AAPL,0.0121632667895617,0.006653137267737197,1
2024-01-23,193.19546652112328,193.91863266844476,192.01659731903075,193.3539581298828,42355600,0.0,0.0,AAPL,0.006653137267737197,-0.0034837623686585495,0
2024-01-24,193.59175002999643,194.54277541900203,192.52185213587853,192.68035888671875,53631300,0.0,0.0,AAPL,-0.0034837623686585495,-0.0016968521084933519,0
2024-01-25,193.39358838897635,194.43376796447615,191.30332823639347,192.35340881347656,54822100,0.0,0.0,AAPL,-0.0016968521084933519,-0.009012719504321476,0
2024-01-26,192.4524795638358,192.9378856146602,190.14427644491346,190.61978149414062,44594000,0.0,0.0,AAPL,-0.009012719504321476,-0.0035858435545670364,0
2024-01-29,190.2136280052267,190.4018528619721,187.8063693410428,189.93624877929688,47145600,0.0,0.0,AAPL,-0.0035858435545670364,-0.019245782862677308,0
2024-01-30,189.1536549714469,190.0056098088079,185.71611749758625,186.28077697753906,55859400,0.0,0.0,AAPL,-0.019245782862677308,-0.01935764435685594,0
2024-01-31,185.2901205380725,185.34957189909602,182.62529981948686,182.67481994628906,55467800,0.0,0.0,AAPL,-0.01935764435685594,0.013340626040728942,1
2024-02-01,182.26867176596141,185.20097077595153,182.1002640289582,185.11181640625,64885400,0.0,0.0,AAPL,0.013340626040728942,-0.005405107765840467,0
2024-02-02,178.1773017145222,185.5774165638072,177.57300802816712,184.11126708984375,102551700,0.0,0.0,AAPL,-0.005405107765840467,0.009846579405989653,1
2024-02-05,186.3897373769733,187.47945226083425,184.10135123689923,185.92413330078125,69668800,0.0,0.0,AAPL,0.009846579405989653,0.008631791741856354,1
2024-02-06,185.1118168962398,187.53889270164484,185.02266252630227,187.52899169921875,43490800,0.0,0.0,AAPL,0.008631791741856354,0.0005810462249489223,1
2024-02-07,188.85644306077413,189.26261088240534,186.84543618864265,187.63795471191406,53439000,0.0,0.0,AAPL,0.0005810462249489223,-0.005754717740633741,0
2024-02-08,187.6181328392653,187.76672344534998,185.59722501634783,186.5581512451172,40962000,0.0,0.0,AAPL,-0.005754717740633741,0.0040938879585155075,1
2024-02-09,187.12350563425738,188.4526743364777,186.47877125585202,187.3218994140625,45155200,0.24,0.0,AAPL,0.0040938879585155075,-0.009001795976777416,0
2024-02-12,186.89539390047275,187.14337102036012,185.27857823550397,185.6356658935547,41781900,0.0,0.0,AAPL,-0.009001795976777416,-0.01127445673817773,0
2024-02-13,184.26682864248664,184.70327076235637,182.02510596048688,183.542724609375,56529500,0.0,0.0,AAPL,-0.01127445673817773,-0.004809681148084999,0
2024-02-14,183.8204888809099,184.02878118831165,180.96378758253468,182.65994262695312,54630500,0.0,0.0,AAPL,-0.004809681148084999,-0.0015746647551266868,0
2024-02-15,182.06482521105013,182.99722170980874,179.88262933424807,182.372314453125,65434500,0.0,0.0,AAPL,-0.0015746647551266868,-0.008430338408320193,0
2024-02-16,181.93587327545112,183.35431044132238,180.20003322850718,180.83485412597656,49752500,0.0,0.0,AAPL,-0.008430338408320193,-0.004113931821041139,0
2024-02-20,180.31904659124555,180.95386745060242,178.54353696650966,180.09091186523438,53665600,0.0,0.0,AAPL,-0.004113931821041139,0.004185914808448876,1
2024-02-21,180.46782702325083,181.41013702999714,179.19818540957374,180.84475708007812,41371400,0.0,0.0,AAPL,0.004185914808448876,0.01124399059656711,1
2024-02-22,181.99537582737872,183.463411373256,180.98364000764028,182.878173828125,52292200,0.0,0.0,AAPL,0.01124399059656711,-0.010034122357219455,0
2024-02-23,183.51299444569602,183.54275049121756,180.75548990166286,181.04315185546875,45119700,0.0,0.0,AAPL,-0.010034122357219455,-0.007451256839112297,0
2024-02-26,180.7654158601022,181.28119739799624,179.18826979539264,179.69415283203125,40867400,0.0,0.0,AAPL,-0.007451256839112297,0.008114339516641644,1
2024-02-27,179.6346334198553,182.43180748858953,178.1070858709482,181.15225219726562,54318900,0.0,0.0,AAPL,0.008114339516641644,-0.006625508739307007,0
2024-02-28,181.03320292829392,181.6382676787398,178.67247114624934,179.9520263671875,48953900,0.0,0.0,AAPL,-0.006625508739307007,-0.003692933025905454,0
2024-02-29,179.80327228471162,181.09275646398507,178.07734590919267,179.2874755859375,136682600,0.0,0.0,AAPL,-0.003692933025905454,-0.006030408729215786,0
